,Player1_healthy,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,"[14, 20, 24, 23, 17, 19, 20, 19, 18, 21, 18, 24, 20, 20, 21, 23, 12, 15, 22, 20]","[17, 7, 11, 20, 9, 13, 8, 13, 19, 7, 14, 13, 12, 16, 19, 8, 7, 22, 20, 19]","[21, 19, 18, 15, 19, 24, 16, 20, 19, 19, 22, 25, 17, 18, 15, 15, 23, 20, 15, 22]","[18, 17, 23, 21, 14, 21, 18, 21, 4, 20, 3, 16, 18, 19, 14, 19, 18, 29, 19, 12]","[6, 8, 10, 1, 3, 3, 10, 3, 2, 7, 3, 14, 2, 3, 6, 2, 0, 14, 19, 2]"
1,"[21, 18, 15, 16, 21, 20, 16, 19, 19, 18, 21, 16, 16, 17, 16, 17, 20, 20, 18, 16]","[4, 4, 3, 4, 4, 6, 4, 4, 6, 3, 5, 3, 6, 3, 7, 4, 5, 5, 9, 12]","[15, 15, 16, 16, 14, 13, 14, 15, 15, 15, 14, 12, 16, 16, 17, 15, 14, 14, 16, 15]","[8, 11, 10, 8, 6, 18, 6, 10, 3, 17, 2, 13, 7, 14, 6, 8, 14, 11, 8, 5]","[2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1]"
