,Player1_healthy,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,"[19, 22, 14, 21, 13, 16, 19, 18, 5, 19, 13, 20, 13, 21, 20, 21, 10, 11, 17, 18]","[4, 5, 3, 11, 3, 2, 2, 3, 10, 7, 8, 2, 2, 2, 11, 4, 8, 13, 4, 2]","[16, 8, 16, 10, 21, 2, 5, 21, 9, 3, 6, 7, 6, 16, 8, 4, 13, 2, 18, 14]","[1, 1, 1, 1, 0, 1, 0, 3, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3]"
1,"[17, 16, 17, 17, 20, 17, 17, 17, 17, 18, 19, 16, 20, 15, 16, 15, 19, 18, 16, 16]","[12, 14, 8, 10, 8, 9, 6, 8, 10, 12, 10, 12, 9, 10, 13, 5, 11, 17, 18, 9]","[10, 13, 11, 12, 11, 10, 11, 11, 13, 11, 9, 13, 12, 13, 10, 12, 11, 9, 13, 14]","[5, 3, 3, 4, 6, 3, 6, 7, 5, 3, 4, 5, 2, 6, 5, 6, 5, 6, 3, 5]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
