,Participant Private ID,Participant Status,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,display,Button A,Button B,Correct answer,Zuweisung_Mitspieler(in),KeepAmount,partnerAnswer,Image,Timelag_decision,Timelag_next participant
1452,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,3.0,7,1.0,decision,response_button_text,498.10000002384186,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""kazandr""",0.5,1,Feedback cooperate.png,2025.0,1985.0
1460,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,22.0,8,1.0,decision,response_button_text,443.3999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""born toKill""",0.5,1,Feedback cooperate.png,1798.0,2211.0
1468,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,8.0,9,1.0,decision,response_button_text,368.7999999523163,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Temminator""",0.5,0,Feddback Abuse.png,1663.0,1865.0
1476,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,19.0,10,1.0,decision,response_button_text,1360.7999999523165,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Rico""",0.5,1,Feedback cooperate.png,2747.0,2915.0
1484,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,20.0,11,1.0,decision,response_button_text,470.10000002384186,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""maggy""",0.5,0,Feddback Abuse.png,3594.0,3061.0
1492,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,7.0,12,1.0,decision,response_button_text,496.60000002384186,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""sdlfn""",0.5,1,Feedback cooperate.png,2402.0,1550.0
1500,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,9.0,13,1.0,decision,response_button_text,763.9000000953674,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Mooney""",0.5,1,Feedback cooperate.png,3262.0,1241.0
1508,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,11.0,14,1.0,decision,response_button_text,394.6999999284744,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""collin""",0.5,0,Feddback Abuse.png,1464.0,2429.0
1516,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,25.0,15,1.0,decision,response_button_text,876.6000000238419,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""ines""",0.5,1,Feedback cooperate.png,1442.0,3412.0
1524,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,32.0,16,1.0,decision,response_button_text,806.6000000238419,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Steffen""",0.5,1,Feedback cooperate.png,3910.0,3751.0
1532,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,21.0,17,1.0,decision,response_button_text,596.8000000715256,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""fabien""",0.5,1,Feedback cooperate.png,2011.0,2063.0
1540,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,26.0,18,1.0,decision,response_button_text,618.1000000238419,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Ppwjer""",0.5,1,Feedback cooperate.png,1245.0,2058.0
1548,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,24.0,19,1.0,decision,response_button_text,711.8999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""dillon""",0.5,1,Feedback cooperate.png,3434.0,1141.0
1556,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,15.0,20,1.0,decision,response_button_text,498.7999999523163,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""next""",0.5,1,Feedback cooperate.png,2921.0,1450.0
1564,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,13.0,21,1.0,decision,response_button_text,382.2000000476837,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""TryMe""",0.5,1,Feedback cooperate.png,2773.0,1308.0
1572,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,5.0,22,1.0,decision,response_button_text,799.2000000476837,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""lisa""",0.5,0,Feddback Abuse.png,2146.0,2600.0
1580,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,31.0,23,1.0,decision,response_button_text,366.2999999523163,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""max""",0.5,0,Feddback Abuse.png,3837.0,1705.0
1588,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,16.0,24,1.0,decision,response_button_text,721.3999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""666""",0.5,1,Feedback cooperate.png,1400.0,2412.0
1596,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,14.0,25,1.0,decision,response_button_text,479.8000000715256,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Woop""",0.5,1,Feedback cooperate.png,3993.0,1587.0
1604,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,23.0,26,1.0,decision,response_button_text,560.7000000476837,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""8D""",0.5,1,Feedback cooperate.png,2198.0,2519.0
1612,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,27.0,27,1.0,decision,response_button_text,642.2999999523163,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""CptSparrow""",0.5,0,Feddback Abuse.png,1348.0,3549.0
1620,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,28.0,28,1.0,decision,response_button_text,691.7000000476837,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Kitty""",0.5,1,Feedback cooperate.png,3381.0,2293.0
1628,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,6.0,29,1.0,decision,response_button_text,669.0999999046326,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""memphis""",0.5,1,Feedback cooperate.png,1490.0,2529.0
1636,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,12.0,30,1.0,decision,response_button_text,492.6999999284744,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""schnuck""",0.5,1,Feedback cooperate.png,3336.0,3808.0
1644,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,35.0,31,1.0,decision,response_button_text,685.3999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Skyluke""",0.5,0,Feddback Abuse.png,2603.0,3480.0
1652,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,38.0,32,1.0,decision,response_button_text,496.8999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""XMP""",0.5,0,Feddback Abuse.png,3602.0,1155.0
1660,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,49.0,33,1.0,decision,response_button_text,593.7000000476837,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""CMPdavid""",0.5,1,Feedback cooperate.png,3925.0,3463.0
1668,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,54.0,34,1.0,decision,response_button_text,568.2999999523163,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""????""",0.5,0,Feddback Abuse.png,1088.0,2471.0
1676,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,52.0,35,1.0,decision,response_button_text,814.6999999284744,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Carsten""",0.5,0,Feddback Abuse.png,2956.0,3233.0
1684,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,62.0,36,1.0,decision,response_button_text,544.6999999284744,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""olaf""",0.5,0,Feddback Abuse.png,3251.0,3821.0
1692,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,36.0,37,1.0,decision,response_button_text,885.0999999046326,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""ninja""",0.5,1,Feedback cooperate.png,1723.0,3867.0
1700,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,51.0,38,1.0,decision,response_button_text,758.1000000238419,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""michi""",0.5,1,Feedback cooperate.png,3672.0,2493.0
1708,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,41.0,39,1.0,decision,response_button_text,621.3999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""ironMaan""",0.5,0,Feddback Abuse.png,1925.0,3655.0
1716,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,39.0,40,1.0,decision,response_button_text,565.3999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""underwood""",0.5,0,Feddback Abuse.png,2664.0,3852.0
1724,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,53.0,41,1.0,decision,response_button_text,691.1999999284744,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Nadine""",0.5,1,Feedback cooperate.png,3618.0,3267.0
1732,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,33.0,42,1.0,decision,response_button_text,918.0,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""ivette""",0.5,0,Feddback Abuse.png,2592.0,2135.0
1740,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,45.0,43,1.0,decision,response_button_text,527.2999999523163,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""ölsmc""",0.5,0,Feddback Abuse.png,1480.0,2304.0
1748,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,47.0,44,1.0,decision,response_button_text,452.2000000476837,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""blume""",0.5,0,Feddback Abuse.png,3268.0,2210.0
1756,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,56.0,45,1.0,decision,response_button_text,853.5999999046326,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""pusher""",0.5,0,Feddback Abuse.png,1630.0,1876.0
1764,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,37.0,46,1.0,decision,response_button_text,492.1999999284744,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""ricarda8""",0.5,0,Feddback Abuse.png,3974.0,3749.0
1772,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,60.0,47,1.0,decision,response_button_text,448.8000000715256,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""imPACT""",0.5,0,Feddback Abuse.png,2208.0,1310.0
1780,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,34.0,48,1.0,decision,response_button_text,746.5999999046326,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""nicoletta""",0.5,1,Feedback cooperate.png,3422.0,1727.0
1788,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,61.0,49,1.0,decision,response_button_text,902.5999999046326,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""lilly""",0.5,0,Feddback Abuse.png,2029.0,2654.0
1796,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,50.0,50,1.0,decision,response_button_text,365.1999999284744,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""camper""",0.5,0,Feddback Abuse.png,3570.0,3186.0
1804,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,57.0,51,1.0,decision,response_button_text,1344.399999976158,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Uli""",0.5,0,Feddback Abuse.png,3522.0,1167.0
1812,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,43.0,52,1.0,decision,response_button_text,481.09999990463257,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""katja""",0.5,0,Feddback Abuse.png,3409.0,3036.0
1820,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,59.0,53,1.0,decision,response_button_text,1189.2999999523165,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Fatima""",0.5,0,Feddback Abuse.png,3116.0,3653.0
1828,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,48.0,54,1.0,decision,response_button_text,535.0999999046326,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""RammStein""",0.5,0,Feddback Abuse.png,2946.0,1875.0
1836,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,58.0,55,1.0,decision,response_button_text,2963.399999976158,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""özclan""",0.5,0,Feddback Abuse.png,1584.0,2424.0
1844,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,46.0,56,1.0,decision,response_button_text,568.0999999046326,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""plethoraa""",0.5,1,Feedback cooperate.png,3330.0,1585.0
1852,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,40.0,57,1.0,decision,response_button_text,542.3999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""fatima""",0.5,0,Feddback Abuse.png,2749.0,3847.0
1860,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,44.0,58,1.0,decision,response_button_text,525.7999999523163,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""shallweplay""",0.5,0,Feddback Abuse.png,1298.0,2106.0
1868,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,42.0,59,1.0,decision,response_button_text,640.5,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""swap""",0.5,0,Feddback Abuse.png,3010.0,1571.0
1876,8801433.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,55.0,60,1.0,decision,response_button_text,649.3999999761581,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""quatschkopf""",0.5,0,Feddback Abuse.png,3313.0,3026.0
1899,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,4.0,1,1.0,decision,response_button_text,4526.5,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Daniel""",0.5,1,Feedback cooperate.png,1277.0,2339.0
1907,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,32.0,2,1.0,decision,response_button_text,2553.9000000059605,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Steffen""",0.5,1,Feedback cooperate.png,3910.0,3751.0
1915,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,23.0,3,1.0,decision,response_button_text,4386.299999982119,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""8D""",0.5,1,Feedback cooperate.png,2198.0,2519.0
1923,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,27.0,4,1.0,decision,response_button_text,2625.899999976158,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""CptSparrow""",0.5,0,Feddback Abuse.png,1348.0,3549.0
1931,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,16.0,5,1.0,decision,response_button_text,1972.7999999821184,0,1.0,0.0,1.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""666""",0.5,1,Feedback cooperate.png,1400.0,2412.0
1937,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,18.0,6,1.0,decision,response_button_text,1712.7000000178814,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Chris""",0.5,1,Feedback cooperate.png,2248.0,1593.0
1945,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,13.0,7,1.0,decision,response_button_text,2390.0999999940395,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""TryMe""",0.5,1,Feedback cooperate.png,2773.0,1308.0
1953,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,24.0,8,1.0,decision,response_button_text,2019.4000000059605,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""dillon""",0.5,1,Feedback cooperate.png,3434.0,1141.0
1961,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,29.0,9,1.0,decision,response_button_text,3024.5,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""c3po""",0.5,1,Feedback cooperate.png,3354.0,2178.0
1969,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,5.0,10,1.0,decision,response_button_text,1610.2999999821186,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""lisa""",0.5,0,Feddback Abuse.png,2146.0,2600.0
1977,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,11.0,11,1.0,decision,response_button_text,1677.5,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""collin""",0.5,0,Feddback Abuse.png,1464.0,2429.0
1985,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,12.0,12,1.0,decision,response_button_text,1294.899999976158,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""schnuck""",0.5,1,Feedback cooperate.png,3336.0,3808.0
1993,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,20.0,13,1.0,decision,response_button_text,3827.300000011921,0,1.0,0.0,1.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""maggy""",0.5,0,Feddback Abuse.png,3594.0,3061.0
1999,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,22.0,14,1.0,decision,response_button_text,4410.0,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""born toKill""",0.5,1,Feedback cooperate.png,1798.0,2211.0
2007,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,14.0,15,1.0,decision,response_button_text,3542.899999976158,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Woop""",0.5,1,Feedback cooperate.png,3993.0,1587.0
2015,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,19.0,16,1.0,decision,response_button_text,2012.5,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Rico""",0.5,1,Feedback cooperate.png,2747.0,2915.0
2023,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,25.0,17,1.0,decision,response_button_text,2508.0,0,1.0,0.0,1.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""ines""",0.5,1,Feedback cooperate.png,1442.0,3412.0
2029,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,28.0,18,1.0,decision,response_button_text,1696.2999999821186,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Kitty""",0.5,1,Feedback cooperate.png,3381.0,2293.0
2037,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,7.0,19,1.0,decision,response_button_text,3524.5999999940395,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""sdlfn""",0.5,1,Feedback cooperate.png,2402.0,1550.0
2045,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,9.0,20,1.0,decision,response_button_text,2576.5,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Mooney""",0.5,1,Feedback cooperate.png,3262.0,1241.0
2053,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,8.0,21,1.0,decision,response_button_text,2844.300000011921,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Temminator""",0.5,0,Feddback Abuse.png,1663.0,1865.0
2061,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,10.0,22,1.0,decision,response_button_text,1877.4000000059605,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Zoe""",0.5,1,Feedback cooperate.png,2214.0,3853.0
2069,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,3.0,23,1.0,decision,response_button_text,1860.0999999940395,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""kazandr""",0.5,1,Feedback cooperate.png,2025.0,1985.0
2077,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,26.0,24,1.0,decision,response_button_text,2128.199999988079,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Ppwjer""",0.5,1,Feedback cooperate.png,1245.0,2058.0
2085,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,15.0,25,1.0,decision,response_button_text,1961.0,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""next""",0.5,1,Feedback cooperate.png,2921.0,1450.0
2093,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,21.0,26,1.0,decision,response_button_text,1626.9000000059605,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""fabien""",0.5,1,Feedback cooperate.png,2011.0,2063.0
2101,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,6.0,27,1.0,decision,response_button_text,3026.300000011921,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""memphis""",0.5,1,Feedback cooperate.png,1490.0,2529.0
2109,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,17.0,28,1.0,decision,response_button_text,4711.799999982119,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""keEpcalm""",0.5,1,Feedback cooperate.png,2104.0,2855.0
2117,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,31.0,29,1.0,decision,response_button_text,6293.4000000059605,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""max""",0.5,0,Feddback Abuse.png,3837.0,1705.0
2125,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,30.0,30,1.0,decision,response_button_text,2462.2000000178814,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""holy shit""",0.5,1,Feedback cooperate.png,2210.0,1190.0
2133,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,35.0,31,1.0,decision,response_button_text,3362.7999999821186,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Skyluke""",0.5,0,Feddback Abuse.png,2603.0,3480.0
2141,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,44.0,32,1.0,decision,response_button_text,2969.2999999821186,0,1.0,0.0,1.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""shallweplay""",0.5,0,Feddback Abuse.png,1298.0,2106.0
2147,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,55.0,33,1.0,decision,response_button_text,1640.9000000059605,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""quatschkopf""",0.5,0,Feddback Abuse.png,3313.0,3026.0
2155,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,40.0,34,1.0,decision,response_button_text,1055.800000011921,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""fatima""",0.5,0,Feddback Abuse.png,2749.0,3847.0
2163,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,53.0,35,1.0,decision,response_button_text,1259.300000011921,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""Nadine""",0.5,1,Feedback cooperate.png,3618.0,3267.0
2171,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,60.0,36,1.0,decision,response_button_text,12828.80000001192,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""imPACT""",0.5,0,Feddback Abuse.png,2208.0,1310.0
2179,8796180.0,complete,TrustGame_final,11.0,Positive-to-negative,Positive-to-negative,39.0,37,1.0,decision,response_button_text,977.2000000178814,1,1.0,1.0,0.0,Trials,50ct behalten,50ct spenden,50ct spenden,"Sie spielen mit ""underwood""",0.5,0,Feddback Abuse.png,2664.0,3852.0
